hydroYear,peakQ,LogPeak
1992,1.7556416,0.2444358629204866
1993,7.2774176,0.8619772967535273
1994,7.0508831999999995,0.848243520517969
1995,13.5071136,1.1305625524623466
1996,13.6486976,1.1350912116610823
1997,6.2863296,0.7983971478728714
1998,10.4205824,1.0178919920957505
1999,4.9271232,0.6925934217048324
2000,4.7855392,0.6799308780359062
2001,6.5128639999999995,0.8137720094398256
2002,4.6439552,0.6668880214699306
2003,6.1164287999999996,0.7864979245731636
2004,27.5805632,1.4406031303008482
2005,16.565328,1.2192000395044131
2006,5.8332608,0.7659113937913862
2007,28.883136,1.4606443451841502
2008,10.194048,1.00834667418952
2009,6.7393984,0.8286211304787446
2010,15.0362208,1.177138694503702
2011,30.582144,1.4854679289091826
2012,7.3906848,0.86868468076051375
2013,9.3162272,0.969240071372207
2014,10.5338496,1.0225871133041302
2015,15.3193888,1.1852414385288021
2016,5.4085088,0.7330775406699602
2017,7.2491008,0.8602841387340823
2018,32.847488,1.5165021626491513
2019,44.740544,1.6507012603766553
2020,13.4787968,1.1296511261427258
2021,42.4752,1.628135432477914
2022,9.1746432,0.9625891836288449
2023,6.8526656,0.835859539402664
2024,68.809824,1.837650447020545
2025,6.8809824,0.8376504470205449
2026,7.3057343999999995,0.8636638793854629
